tf_container  | Epoch 7 Batch 1100 Loss 0.5375
tf_container  | Epoch 7 Batch 1200 Loss 0.5430
tf_container  | Epoch 7 Batch 1300 Loss 0.4802
tf_container  | Epoch 7 Batch 1400 Loss 0.5159
tf_container  | Epoch 7 Loss 0.515385
tf_container  | Time taken for 1 epoch 378.11804246902466 sec
tf_container  |
tf_container  | Epoch 8 Batch 0 Loss 0.5173
tf_container  | Epoch 8 Batch 100 Loss 0.5333
tf_container  | Epoch 8 Batch 200 Loss 0.4881
tf_container  | Epoch 8 Batch 300 Loss 0.5559
tf_container  | Epoch 8 Batch 400 Loss 0.5360
tf_container  | Epoch 8 Batch 500 Loss 0.5103
tf_container  | Epoch 8 Batch 600 Loss 0.4764
tf_container  | Epoch 8 Batch 700 Loss 0.5322
tf_container  | Epoch 8 Batch 800 Loss 0.4908
tf_container  | Epoch 8 Batch 900 Loss 0.4741
tf_container  | Epoch 8 Batch 1000 Loss 0.5084
tf_container  | Epoch 8 Batch 1100 Loss 0.5208
tf_container  | Epoch 8 Batch 1200 Loss 0.5237
tf_container  | Epoch 8 Batch 1300 Loss 0.4704
tf_container  | Epoch 8 Batch 1400 Loss 0.4988
tf_container  | Epoch 8 Loss 0.499659
tf_container  | Time taken for 1 epoch 374.9556291103363 sec
tf_container  |
tf_container  | Epoch 9 Batch 0 Loss 0.5029
tf_container  | Epoch 9 Batch 100 Loss 0.5198
tf_container  | Epoch 9 Batch 200 Loss 0.4793
tf_container  | Epoch 9 Batch 300 Loss 0.5349
tf_container  | Epoch 9 Batch 400 Loss 0.5149
tf_container  | Epoch 9 Batch 500 Loss 0.5012
tf_container  | Epoch 9 Batch 600 Loss 0.4748
tf_container  | Epoch 9 Batch 700 Loss 0.5084
tf_container  | Epoch 9 Batch 800 Loss 0.4738
tf_container  | Epoch 9 Batch 900 Loss 0.4625
tf_container  | Epoch 9 Batch 1000 Loss 0.4947
tf_container  | Epoch 9 Batch 1100 Loss 0.5103
tf_container  | Epoch 9 Batch 1200 Loss 0.5132
tf_container  | Epoch 9 Batch 1300 Loss 0.4617
tf_container  | Epoch 9 Batch 1400 Loss 0.4921
tf_container  | Epoch 9 Loss 0.485578
tf_container  | Time taken for 1 epoch 369.79283905029297 sec
tf_container  |
tf_container  | Epoch 10 Batch 0 Loss 0.4911
tf_container  | Epoch 10 Batch 100 Loss 0.5026
tf_container  | Epoch 10 Batch 200 Loss 0.4610
tf_container  | Epoch 10 Batch 300 Loss 0.5140
tf_container  | Epoch 10 Batch 400 Loss 0.4938
tf_container  | Epoch 10 Batch 500 Loss 0.4855
tf_container  | Epoch 10 Batch 600 Loss 0.4592
tf_container  | Epoch 10 Batch 700 Loss 0.4897
tf_container  | Epoch 10 Batch 800 Loss 0.4689
tf_container  | Epoch 10 Batch 900 Loss 0.4502
tf_container  | Epoch 10 Batch 1000 Loss 0.4838
tf_container  | Epoch 10 Batch 1100 Loss 0.4977
tf_container  | Epoch 10 Batch 1200 Loss 0.4931
tf_container  | Epoch 10 Batch 1300 Loss 0.4479
tf_container  | Epoch 10 Batch 1400 Loss 0.4881
tf_container  | Epoch 10 Loss 0.473557
tf_container  | Time taken for 1 epoch 370.8447198867798 sec
tf_container  |
tf_container  | Epoch 11 Batch 0 Loss 0.4885
tf_container  | Epoch 11 Batch 100 Loss 0.4980
tf_container  | Epoch 11 Batch 200 Loss 0.4518
tf_container  | Epoch 11 Batch 300 Loss 0.4925
tf_container  | Epoch 11 Batch 400 Loss 0.4941
tf_container  | Epoch 11 Batch 500 Loss 0.4745
tf_container  | Epoch 11 Batch 600 Loss 0.4462
tf_container  | Epoch 11 Batch 700 Loss 0.4712
tf_container  | Epoch 11 Batch 800 Loss 0.4484
tf_container  | Epoch 11 Batch 900 Loss 0.4378
tf_container  | Epoch 11 Batch 1000 Loss 0.4777
tf_container  | Epoch 11 Batch 1100 Loss 0.4952
tf_container  | Epoch 11 Batch 1200 Loss 0.4860
tf_container  | Epoch 11 Batch 1300 Loss 0.4294
tf_container  | Epoch 11 Batch 1400 Loss 0.4637
tf_container  | Epoch 11 Loss 0.461470
tf_container  | Time taken for 1 epoch 370.85370659828186 sec
tf_container  |
tf_container  | Epoch 12 Batch 0 Loss 0.4835
tf_container  | Epoch 12 Batch 100 Loss 0.4807
tf_container  | Epoch 12 Batch 200 Loss 0.4447
tf_container  | Epoch 12 Batch 300 Loss 0.4819
tf_container  | Epoch 12 Batch 400 Loss 0.4744
tf_container  | Epoch 12 Batch 500 Loss 0.4682
tf_container  | Epoch 12 Batch 600 Loss 0.4348
tf_container  | Epoch 12 Batch 700 Loss 0.4591
tf_container  | Epoch 12 Batch 800 Loss 0.4332
tf_container  | Epoch 12 Batch 900 Loss 0.4329
tf_container  | Epoch 12 Batch 1000 Loss 0.4622
tf_container  | Epoch 12 Batch 1100 Loss 0.4761
tf_container  | Epoch 12 Batch 1200 Loss 0.4743
tf_container  | Epoch 12 Batch 1300 Loss 0.4243
tf_container  | Epoch 12 Batch 1400 Loss 0.4547
tf_container  | Epoch 12 Loss 0.451226
tf_container  | Time taken for 1 epoch 369.9537935256958 sec
tf_container  |
tf_container  | Epoch 13 Batch 0 Loss 0.4764
tf_container  | Epoch 13 Batch 100 Loss 0.4725
tf_container  | Epoch 13 Batch 200 Loss 0.4419
tf_container  | Epoch 13 Batch 300 Loss 0.4708
tf_container  | Epoch 13 Batch 400 Loss 0.4674
tf_container  | Epoch 13 Batch 500 Loss 0.4508
tf_container  | Epoch 13 Batch 600 Loss 0.4487
tf_container  | Epoch 13 Batch 700 Loss 0.4548
tf_container  | Epoch 13 Batch 800 Loss 0.4291
tf_container  | Epoch 13 Batch 900 Loss 0.4312
tf_container  | Epoch 13 Batch 1000 Loss 0.4585
tf_container  | Epoch 13 Batch 1100 Loss 0.4775
tf_container  | Epoch 13 Batch 1200 Loss 0.4709
tf_container  | Epoch 13 Batch 1300 Loss 0.4247
tf_container  | Epoch 13 Batch 1400 Loss 0.4492
tf_container  | Epoch 13 Loss 0.444644
tf_container  | Time taken for 1 epoch 369.12994265556335 sec
tf_container  |
tf_container  | Epoch 14 Batch 0 Loss 0.4594
tf_container  | Epoch 14 Batch 100 Loss 0.4577
tf_container  | Epoch 14 Batch 200 Loss 0.4308
tf_container  | Epoch 14 Batch 300 Loss 0.4754
tf_container  | Epoch 14 Batch 400 Loss 0.4603
tf_container  | Epoch 14 Batch 500 Loss 0.4332
tf_container  | Epoch 14 Batch 600 Loss 0.4252
tf_container  | Epoch 14 Batch 700 Loss 0.4452
tf_container  | Epoch 14 Batch 800 Loss 0.4252
tf_container  | Epoch 14 Batch 900 Loss 0.4314
tf_container  | Epoch 14 Batch 1000 Loss 0.4491
tf_container  | Epoch 14 Batch 1100 Loss 0.4653
tf_container  | Epoch 14 Batch 1200 Loss 0.4557
tf_container  | Epoch 14 Batch 1300 Loss 0.4176
tf_container  | Epoch 14 Batch 1400 Loss 0.4372
tf_container  | Epoch 14 Loss 0.436880
tf_container  | Time taken for 1 epoch 367.72967076301575 sec
tf_container  |
tf_container  | Epoch 15 Batch 0 Loss 0.4561
tf_container  | Epoch 15 Batch 100 Loss 0.4495
tf_container  | Epoch 15 Batch 200 Loss 0.4240
tf_container  | Epoch 15 Batch 300 Loss 0.4587
tf_container  | Epoch 15 Batch 400 Loss 0.4481
tf_container  | Epoch 15 Batch 500 Loss 0.4292
tf_container  | Epoch 15 Batch 600 Loss 0.4242
tf_container  | Epoch 15 Batch 700 Loss 0.4387
tf_container  | Epoch 15 Batch 800 Loss 0.4080
tf_container  | Epoch 15 Batch 900 Loss 0.4106
tf_container  | Epoch 15 Batch 1000 Loss 0.4385
tf_container  | Epoch 15 Batch 1100 Loss 0.4471
tf_container  | Epoch 15 Batch 1200 Loss 0.4451
tf_container  | Epoch 15 Batch 1300 Loss 0.4135
tf_container  | Epoch 15 Batch 1400 Loss 0.4158
tf_container  | Epoch 15 Loss 0.428285
tf_container  | Time taken for 1 epoch 369.36240339279175 sec
tf_container  |
tf_container  | Epoch 16 Batch 0 Loss 0.4454
tf_container  | Epoch 16 Batch 100 Loss 0.4358
tf_container  | Epoch 16 Batch 200 Loss 0.4171
tf_container  | Epoch 16 Batch 300 Loss 0.4506
tf_container  | Epoch 16 Batch 400 Loss 0.4385
tf_container  | Epoch 16 Batch 500 Loss 0.4281
tf_container  | Epoch 16 Batch 600 Loss 0.4101
tf_container  | Epoch 16 Batch 700 Loss 0.4218
tf_container  | Epoch 16 Batch 800 Loss 0.4130
tf_container  | Epoch 16 Batch 900 Loss 0.4052
tf_container  | Epoch 16 Batch 1000 Loss 0.4278
tf_container  | Epoch 16 Batch 1100 Loss 0.4411
tf_container  | Epoch 16 Batch 1200 Loss 0.4323
tf_container  | Epoch 16 Batch 1300 Loss 0.4081
tf_container  | Epoch 16 Batch 1400 Loss 0.4106
tf_container  | Epoch 16 Loss 0.420812
tf_container  | Time taken for 1 epoch 368.8256456851959 sec
tf_container  |
tf_container  | Epoch 17 Batch 0 Loss 0.4431
tf_container  | Epoch 17 Batch 100 Loss 0.4391
tf_container  | Epoch 17 Batch 200 Loss 0.4085
tf_container  | Epoch 17 Batch 300 Loss 0.4344
tf_container  | Epoch 17 Batch 400 Loss 0.4378
tf_container  | Epoch 17 Batch 500 Loss 0.4170
tf_container  | Epoch 17 Batch 600 Loss 0.4083
tf_container  | Epoch 17 Batch 700 Loss 0.4299
tf_container  | Epoch 17 Batch 800 Loss 0.4032
tf_container  | Epoch 17 Batch 900 Loss 0.3903
tf_container  | Epoch 17 Batch 1000 Loss 0.4229
tf_container  | Epoch 17 Batch 1100 Loss 0.4362
tf_container  | Epoch 17 Batch 1200 Loss 0.4413
tf_container  | Epoch 17 Batch 1300 Loss 0.3945
tf_container  | Epoch 17 Batch 1400 Loss 0.4149
tf_container  | Epoch 17 Loss 0.415218
tf_container  | Time taken for 1 epoch 369.2182297706604 sec
tf_container  |
tf_container  | Epoch 18 Batch 0 Loss 0.4433
tf_container  | Epoch 18 Batch 100 Loss 0.4383
tf_container  | Epoch 18 Batch 200 Loss 0.4090
tf_container  | Epoch 18 Batch 300 Loss 0.4338
tf_container  | Epoch 18 Batch 400 Loss 0.4288
tf_container  | Epoch 18 Batch 500 Loss 0.4165
tf_container  | Epoch 18 Batch 600 Loss 0.3959
tf_container  | Epoch 18 Batch 700 Loss 0.4126
tf_container  | Epoch 18 Batch 800 Loss 0.3946
tf_container  | Epoch 18 Batch 900 Loss 0.3856
tf_container  | Epoch 18 Batch 1000 Loss 0.4120
tf_container  | Epoch 18 Batch 1100 Loss 0.4264
tf_container  | Epoch 18 Batch 1200 Loss 0.4346
tf_container  | Epoch 18 Batch 1300 Loss 0.3977
tf_container  | Epoch 18 Batch 1400 Loss 0.4001
tf_container  | Epoch 18 Loss 0.407389
tf_container  | Time taken for 1 epoch 369.2915303707123 sec
tf_container  |
tf_container  | Epoch 19 Batch 0 Loss 0.4322
tf_container  | Epoch 19 Batch 100 Loss 0.4363
tf_container  | Epoch 19 Batch 200 Loss 0.4118
tf_container  | Epoch 19 Batch 300 Loss 0.4190
tf_container  | Epoch 19 Batch 400 Loss 0.4206
tf_container  | Epoch 19 Batch 500 Loss 0.3988
tf_container  | Epoch 19 Batch 600 Loss 0.4033
tf_container  | Epoch 19 Batch 700 Loss 0.4088
tf_container  | Epoch 19 Batch 800 Loss 0.3893
tf_container  | Epoch 19 Batch 900 Loss 0.3952
tf_container  | Epoch 19 Batch 1000 Loss 0.4124
tf_container  | Epoch 19 Batch 1100 Loss 0.4125
tf_container  | Epoch 19 Batch 1200 Loss 0.4179
tf_container  | Epoch 19 Batch 1300 Loss 0.3881
